Date,Time,CWD_Crse,Nel_Crse,CWD_Spd,Nel_Spd,Range,Bearing,Bearing Rate,Relative Bearing,ATB
12/Dec/1995,08:03:00,230.2,119.6,6.4286424261,11.8881245285,18998.8258621358,275.2936444382,-0.4984844032,161.8388452331,-143.3438165268
12/Dec/1995,08:04:00,230.3,120.5,6.4128681421,11.6988118376,19526.1991291742,275.2548901906,-0.5025354942,161.8659337564,-143.7421029573
12/Dec/1995,08:05:00,230.1,120.4,6.4050016711,11.8937174782,20061.3095531486,275.145274596,-0.4806028433,162.5120884764,-144.187639593
12/Dec/1995,08:06:00,230.4,119.7,6.4366426718,12.0000434829,20598.2776586391,274.6605459407,-0.4571083313,166.8764171246,-144.8288161699
12/Dec/1995,08:07:00,230.5,114.3,6.4604197889,12.2659397416,21143.4108827994,274.1717122299,-0.4319501528,180,-145.4028353393
12/Dec/1995,08:08:00,230.1,87,6.4277010685,12.2968834639,21688.3598170163,273.703923531,-0.3781156971,-180,-150.2431230947
12/Dec/1995,08:09:00,230.1,85.1,6.356099833,12.481957118,22242.6773888132,273.2588731239,-0.1726451732,-172.7534167429,-171.842081832
12/Dec/1995,08:10:00,230.3,84.8,5.5627142578,12.4066095904,22821.5386956713,272.8380346259,0.0507351931,-171.7871210561,-180
12/Dec/1995,08:11:00,230.5,84.8,4.5170489688,12.4462163029,23364.3404879197,272.4695702572,0.1759002205,-172.0514602227,180
12/Dec/1995,08:12:00,230,84.9,4.3614199958,12.5232560425,23830.5591396319,272.3014122899,-0.0970019005,-172.5753285048,160.0103869607
12/Dec/1995,08:13:00,229.7,84.7,4.6531939333,12.422585494,24023.1473116312,272.3509441518,-0.0686643712,-173.0903059889,125.3117046003
12/Dec/1995,08:14:00,230.7,85.4,4.9002060921,12.5677986237,23848.9378787153,272.5233046775,0.1163605488,-173.338247846,91.0611982515
12/Dec/1995,08:15:00,229.8,85.1,4.9923970582,8.3738940169,23551.1117068901,272.4271664709,0.0917028778,-174.188675654,79.763543497
12/Dec/1995,08:16:00,229.9,84.6,5.1326941887,7.3150008686,23222.7839709804,272.358068733,0.0909800237,-174.2373128396,79.1203702327
12/Dec/1995,08:17:00,230.3,41.3,5.1207766382,9.3033705162,22876.402513823,272.4758442412,0.0758423109,-173.7710005595,78.2825775041
12/Dec/1995,08:18:00,229.9,0,5.2351161231,10.2934430547,22524.2953751653,272.5688050928,0.0899142322,-137.4108833984,78.558139265
12/Dec/1995,08:19:00,230.3,360,5.2977880405,10.8960339751,22166.7304424714,272.6611261364,0.0934655062,-48.8872534413,79.6844512723
12/Dec/1995,08:20:00,230.7,329.3,5.2963264727,11.2422901926,21798.0630626044,272.7381286817,0.096964362,-20.4071893158,79.2161373564
12/Dec/1995,08:21:00,230,299.4,5.3514403308,11.3281554585,21433.196250042,272.8294596078,0.0982465536,-20.8755277429,79.2643038041
